Date,Cumulative,Cases
04 Apr 2018,1,1
05 Apr 2018,1,0
06 Apr 2018,1,0
07 Apr 2018,2,1
08 Apr 2018,2,0
09 Apr 2018,2,0
10 Apr 2018,2,0
11 Apr 2018,5,3
12 Apr 2018,6,1
13 Apr 2018,6,0
14 Apr 2018,6,0
15 Apr 2018,6,0
16 Apr 2018,6,0
17 Apr 2018,7,1
18 Apr 2018,8,1
19 Apr 2018,9,1
20 Apr 2018,10,1
21 Apr 2018,10,0
22 Apr 2018,11,1
23 Apr 2018,12,1
24 Apr 2018,13,1
25 Apr 2018,13,0
26 Apr 2018,14,1
27 Apr 2018,14,0
28 Apr 2018,14,0
29 Apr 2018,14,0
30 Apr 2018,16,2
01 May 2018,16,0
02 May 2018,18,2
03 May 2018,24,6
04 May 2018,25,1
05 May 2018,26,1
06 May 2018,27,1
07 May 2018,28,1
08 May 2018,28,0
09 May 2018,30,2
10 May 2018,30,0
11 May 2018,31,1
12 May 2018,33,2
13 May 2018,35,2
14 May 2018,38,3
15 May 2018,39,1
16 May 2018,39,0
17 May 2018,40,1
18 May 2018,42,2
19 May 2018,45,3
20 May 2018,46,1
21 May 2018,46,0
22 May 2018,46,0
23 May 2018,46,0
24 May 2018,46,0
25 May 2018,46,0
