Date,Cases,Deaths
20 Jul 2014,0,0
21 Jul 2014,0,0
22 Jul 2014,0,0
23 Jul 2014,0,0
24 Jul 2014,0,0
25 Jul 2014,0,1
26 Jul 2014,0,0
27 Jul 2014,0,0
28 Jul 2014,1,0
29 Jul 2014,1,0
30 Jul 2014,2,0
31 Jul 2014,3,0
01 Aug 2014,2,0
02 Aug 2014,2,1
03 Aug 2014,0,0
04 Aug 2014,1,2
05 Aug 2014,0,0
06 Aug 2014,0,0
07 Aug 2014,0,0
08 Aug 2014,0,0
09 Aug 2014,0,0
10 Aug 2014,2,0
11 Aug 2014,0,0
12 Aug 2014,0,1
13 Aug 2014,0,0
14 Aug 2014,0,0
15 Aug 2014,0,0
16 Aug 2014,1,0
17 Aug 2014,0,0
18 Aug 2014,1,0
19 Aug 2014,0,1
20 Aug 2014,0,0
21 Aug 2014,0,0
22 Aug 2014,0,0
23 Aug 2014,0,0
24 Aug 2014,0,0
25 Aug 2014,1,0
26 Aug 2014,0,0
27 Aug 2014,1,1
28 Aug 2014,0,0
29 Aug 2014,0,0
30 Aug 2014,0,0
31 Aug 2014,1,0
01 Sep 2014,0,0
02 Sep 2014,0,0
03 Sep 2014,0,0
04 Sep 2014,0,0
05 Sep 2014,0,0
06 Sep 2014,0,0
07 Sep 2014,0,0
08 Sep 2014,0,0
09 Sep 2014,0,0
10 Sep 2014,0,0
11 Sep 2014,0,0
12 Sep 2014,0,0
13 Sep 2014,0,1
14 Sep 2014,0,0
15 Sep 2014,0,0
16 Sep 2014,0,0
17 Sep 2014,0,0
18 Sep 2014,0,0
19 Sep 2014,0,0
20 Sep 2014,0,0
21 Sep 2014,0,0
22 Sep 2014,0,0
23 Sep 2014,0,0
24 Sep 2014,0,0
25 Sep 2014,0,0
26 Sep 2014,0,0
27 Sep 2014,0,0
28 Sep 2014,0,0
29 Sep 2014,0,0
30 Sep 2014,0,0
01 Oct 2014,0,0
02 Oct 2014,0,0
03 Oct 2014,0,0
04 Oct 2014,0,0
05 Oct 2014,0,0
06 Oct 2014,0,0
07 Oct 2014,0,0
08 Oct 2014,0,0
09 Oct 2014,0,0
10 Oct 2014,0,0
11 Oct 2014,0,0
12 Oct 2014,0,0
13 Oct 2014,0,0
14 Oct 2014,0,0
15 Oct 2014,0,0
16 Oct 2014,0,0
17 Oct 2014,0,0
18 Oct 2014,0,0
19 Oct 2014,0,0
20 Oct 2014,0,0
