"","Sierra Leone","Sierra Leone","Sierra Leone","Sierra Leone"
""," Situation report"," Situation report"," Patient database"," Patient database"
""," New"," New"," New"," New"
"Epi week"," Confirmed"," Probable"," Confirmed"," Probable"
"30 December 2013 to 05 January 2014 (2014-W01)","","","",""
"06 to 12 January 2014 (2014-W02)","","","",""
"13 to 19 January 2014 (2014-W03)","","","",""
"20 to 26 January 2014 (2014-W04)","","","",""
"27 January to 02 February 2014 (2014-W05)","","","",""
"03 to 09 February 2014 (2014-W06)","","","",""
"10 to 16 February 2014 (2014-W07)","","","",""
"17 to 23 February 2014 (2014-W08)","","","",""
"24 February to 02 March 2014 (2014-W09)","","","",""
"03 to 09 March 2014 (2014-W10)","","","",""
"10 to 16 March 2014 (2014-W11)","","","",""
"17 to 23 March 2014 (2014-W12)","","","",""
"24 to 30 March 2014 (2014-W13)","","","",""
"31 March to 06 April 2014 (2014-W14)","","","",""
"07 to 13 April 2014 (2014-W15)","","","",""
"14 to 20 April 2014 (2014-W16)","","","",""
"21 to 27 April 2014 (2014-W17)","","","",""
"28 April to 04 May 2014 (2014-W18)","","","",""
"05 to 11 May 2014 (2014-W19)","","","",""
"12 to 18 May 2014 (2014-W20)","","","",""
"19 to 25 May 2014 (2014-W21)","","","3","0"
"26 May to 01 June 2014 (2014-W22)","","","17","2"
"02 to 08 June 2014 (2014-W23)","","","32","4"
"09 to 15 June 2014 (2014-W24)","","","65","9"
"16 to 22 June 2014 (2014-W25)","","","59","4"
"23 to 29 June 2014 (2014-W26)","","","49","5"
"30 June to 06 July 2014 (2014-W27)","","","88","6"
"07 to 13 July 2014 (2014-W28)","","","106","6"
"14 to 20 July 2014 (2014-W29)","","","77","1"
"21 to 27 July 2014 (2014-W30)","","","98","7"
"28 July to 03 August 2014 (2014-W31)","","","144","7"
"04 to 10 August 2014 (2014-W32)","","","135","10"
"11 to 17 August 2014 (2014-W33)","","","127","7"
"18 to 24 August 2014 (2014-W34)","","","174","11"
"25 to 31 August 2014 (2014-W35)","","","190","16"
"01 to 07 September 2014 (2014-W36)","","","217","15"
"08 to 14 September 2014 (2014-W37)","","","233","13"
"15 to 21 September 2014 (2014-W38)","254","0","389","34"
"22 to 28 September 2014 (2014-W39)","350","0","394","18"
"29 September to 05 October 2014 (2014-W40)","315","0","365","48"
"06 to 12 October 2014 (2014-W41)","371","0","368","66"
"13 to 19 October 2014 (2014-W42)","386","0","456","90"
"20 to 26 October 2014 (2014-W43)","399","9","460","106"
"27 October to 02 November 2014 (2014-W44)","435","5","507","133"
"27 October to 09 November 2014 (2014-W45)","421","0","512","134"
"10 to 16 November 2014 (2014-W46)","533","0","465","90"
"17 to 23 November 2014 (2014-W47)","385","0","437","107"
"24 to 30 November 2014 (2014-W48)","537","0","578","77"
"01 to 07 December 2014 (2014-W49)","397","0","389","84"
"08 to 14 December 2014 (2014-W50)","327","0","397","73"
"15 to 21 December 2014 (2014-W51)","315","0","364","66"
"22 to 28 December 2014 (2014-W52)","337","0","429","109"
"29 December 2014 to 04 January 2015 (2015-W01)","248","0","347","61"
"05 to 11 January 2015 (2015-W02)","184","0","288","50"
"12 to 18 January 2015 (2015-W03)","117","0","121","52"
"19 to 25 January 2015 (2015-W04)","65","0","108","31"
"26 January to 01 February 2015 (2015-W05)","80","0","85","36"
"02 to 08 February 2015 (2015-W06)","76","0","90","24"
"09 to 15 February 2015 (2015-W07)","96","0","101","23"
"16 to 22 February 2015 (2015-W08)","63","0","82","22"
"23 February to 01 March 2015 (2015-W09)","81","0","67","17"
"02 to 08 March 2015 (2015-W10)","58","0","92","25"
"09 to 15 March 2015 (2015-W11)","55","0","35","26"
"16 to 22 March 2015 (2015-W12)","33","0","36","13"
"23 to 29 March 2015 (2015-W13)","25","0","22","23"
"30 March to 05 April 2015 (2015-W14)","9","0","11","24"
"06 to 12 April 2015 (2015-W15)","9","0","15","14"
"13 to 19 April 2015 (2015-W16)","12","0","17","5"
"20 to 26 April 2015 (2015-W17)","11","0","6","8"
"27 April to 03 May 2015 (2015-W18)","9","0","8","10"
"04 to 10 May 2015 (2015-W19)","2","0","3","6"
"11 to 17 May 2015 (2015-W20)","8","0","8","15"
"18 to 24 May 2015 (2015-W21)","3","0","7","28"
"25 to 31 May 2015 (2015-W22)","12","0","14","10"
"01 to 07 June 2015 (2015-W23)","15","0","15","10"
"08 to 14 June 2015 (2015-W24)","14","0","14","18"
"15 to 21 June 2015 (2015-W25)","8","0","8","72"
"22 to 28 June 2015 (2015-W26)","8","0","9","59"
"29 June to 05 July 2015 (2015-W27)","9","0","9","11"
"06 to 12 July 2015 (2015-W28)","14","0","7","2"
"13 to 19 July 2015 (2015-W29)","3","0","7","2"
"20 to 26 July 2015 (2015-W30)","3","0","3","2"
"27 July to 02 August 2015 (2015-W31)","2","0","2","2"
"03 to 09 August 2015 (2015-W32)","1","0","1","1"
"10 to 16 August 2015 (2015-W33)","0","0","0","8"
"17 to 23 August 2015 (2015-W34)","0","0","2","0"
"24 to 30 August 2015 (2015-W35)","1","0","0","0"
"31 August to 06 September 2015 (2015-W36)","1","0","",""
"07 to 13 September 2015 (2015-W37)","5","0","",""
"14 to 20 September 2015 (2015-W38)","0","0","",""
"21 to 27 September 2015 (2015-W39)","0","0","",""
"28 September to 04 October 2015 (2015-W40)","0","0","",""
"05 to 11 October 2015 (2015-W41)","0","0","",""
"12 to 18 October 2015 (2015-W42)","0","0","",""
"19 to 25 October 2015 (2015-W43)","0","0","",""
"26 October to 01 November 2015 (2015-W44)","0","0","",""
"02 to 08 November 2015 (2015-W45)","0","0","",""
"09 to 15 November 2015 (2015-W46)","0","0","",""
