Date,Total_Cases,Total_Death,Guinea_Cases,Guinea_Death,SierraLeone_Cases,SierraLeone_Death,Liberia_Cases,Liberia_Death,Nigeria_Cases,Nigeria_Death,Comment
22 Mar 2014,49,29,49,29,,,,,,,
24 Mar 2014,86,59,86,59,,,,,,,
25 Mar 2014,86,60,86,60,,,,,,,
26 Mar 2014,86,62,86,62,,,,,,,
27 Mar 2014,103,66,103,66,,,,,,,
28 Mar 2014,112,70,112,70,,,,,,,
31 Mar 2014,122,80,122,80,,,,,,,
01 Apr 2014,127,83,127,83,,,,,,,
04 Apr 2014,143,86,143,86,,,,,,,
07 Apr 2014,151,95,151,95,,,,,,,
09 Apr 2014,158,101,158,101,,,,,,,
11 Apr 2014,159,106,159,106,,,,,,,
14 Apr 2014,168,108,168,108,,,,,,,
16 Apr 2014,197,122,197,122,,,,,,,
17 Apr 2014,203,129,203,129,,,,,,,
20 Apr 2014,208,136,208,136,,,,,,,
23 Apr 2014,218,141,218,141,,,,,,,
01 May 2014,226,149,226,149,,,,,,,
03 May 2014,231,155,231,155,,,,,,,
05 May 2014,235,157,235,157,,,,,,,
07 May 2014,236,158,236,158,,,,,,,
10 May 2014,233,157,233,157,,,,,,,
12 May 2014,248,171,248,171,,,,,,,
18 May 2014,253,176,253,176,,,,,,,
23 May 2014,258,174,258,174,,,,,,,
27 May 2014,297,191,281,186,16,5,,,,,First confirmed cases in Sierra Leone
28 May 2014,,,291,193,,,,,,,
29 May 2014,,,,,50,6,,,,,
01 Jun 2014,407,214,328,208,79,6,,,,,
03 Jun 2014,,,344,215,,,,,,,
05 Jun 2014,,,351,226,81,6,,,,,
06 Jun 2014,,,,,89,7,,,,,
15 Jun 2014,489,309,394,263,95,46,,,,,
16 Jun 2014,,,398,264,,,33,24,,,First new cases in Liberia since 6 April
17 Jun 2014,,,,,97,49,,,,,
20 Jun 2014,,,390,270,158,34,,,,,
22 Jun 2014,,,,,,,51,34,,,
30 Jun 2014,759,467,413,303,239,99,107,65,,,
02 Jul 2014,779,481,412,305,252,101,115,75,,,
06 Jul 2014,844,518,408,307,305,127,131,84,,,
08 Jul 2014,888,539,409,309,337,142,142,88,,,
12 Jul 2014,964,603,406,304,386,194,172,105,,,
14 Jul 2014,982,613,411,310,397,197,174,106,,,
17 Jul 2014,1048,632,410,310,442,206,196,116,,,
20 Jul 2014,1094,660,415,314,454,219,224,127,1,0,Arrival of index patient in Nigeria
23 Jul 2014,1201,672,427,319,525,224,249,129,,,
27 Jul 2014,1323,729,460,339,533,233,329,156,1,1,
30 Jul 2014,1440,826,472,346,574,252,391,227,3,1,
01 Aug 2014,1603,887,485,358,646,273,468,255,4,1,
04 Aug 2014,1711,932,495,363,691,286,516,282,9,1,
06 Aug 2014,1779,961,495,367,717,298,554,294,13,2,
09 Aug 2014,1848,1013,506,373,730,315,599,323,13,2,
11 Aug 2014,1975,1069,510,377,783,334,670,355,12,3,
13 Aug 2014,2127,1145,519,380,810,348,786,413,12,4,
15 Aug 2014,,,,,,,834,466,,,
16 Aug 2014,,,543,394,848,365,,,15,4,
18 Aug 2014,2473,1350,579,396,907,374,972,576,15,4,
20 Aug 2014,2615,1427,607,406,910,392,1082,624,16,5,
